,Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Rate(in US),Total Assets,Asset Turnover,Total Debt,Operating Margin,P/E Ratio,P/B Ratio
4,2018,AAPL,IT,748.54,265595.0,101839.0,59531.0,2.98,81801.0,107147.0,77434.0,16066.0,-87876.0,1.1329,1.0685,55.5601,16.2775,29.6348,22.4142,0.7414,55.5601,132000,2.4426,221633.5695,1.1983518588775874,114486.5695,0.3079914908036672,12.57395306646957,6.986103204009445
5,2017,AAPL,IT,868.87,229234.0,88186.0,48351.0,2.3025,71501.0,134047.0,64225.0,-46446.0,-17974.0,1.2761,0.863,36.0702,12.8826,20.9082,21.0924,0.033,36.0702,123000,2.1301,249729.561,0.9179289751764711,115682.561,0.3119127180086724,17.97005232570164,6.481830999574776
6,2016,AAPL,IT,617.59,215639.0,84263.0,45687.0,2.0775,70529.0,128249.0,66231.0,-45977.0,-20890.0,1.3527,0.6786,35.6237,14.2024,22.4312,21.1868,-0.5901,38.1906,116000,1.2616,215278.7714,1.001673312225155,87029.7714,0.3270697786578495,13.517849716549566,4.815554117381033
7,2015,AAPL,IT,586.86,233715.0,93626.0,53394.0,2.305,82487.0,119355.0,81266.0,-56274.0,-17716.0,1.1088,0.539,44.7355,18.3899,30.9201,22.8458,0.9743,48.3878,110000,0.1186,183687.34500000003,1.2723522134853653,64332.345,0.35293840788995146,10.991122598044724,4.916928490637175
8,2014,AAPL,IT,647.36,182795.0,70537.0,39510.0,1.6125,60449.0,111547.0,59713.0,-22579.0,-37549.0,1.0801,0.3164,35.4201,17.042,28.1142,21.6144,0.3032,38.438,97000,1.6222,146840.4708,1.2448543579581057,35293.4708,0.3306928526491425,16.38471273095419,5.803472975517047
9,2013,AAPL,IT,504.79,170910.0,64304.0,37037.0,1.42,55756.0,123549.0,53666.0,-33774.0,-16379.0,1.6786,0.1373,29.9776,17.8923,26.3592,21.6705,0.1363,31.4425,84400,1.4648,140512.2777,1.2163349907749734,16963.277700000002,0.3262301796267041,13.62934362934363,4.0857473553003265
10,2012,AAPL,IT,500.61,156508.0,68662.0,41733.0,1.5775,58518.0,118210.0,50856.0,-48227.0,-1698.0,1.4958,0.0,35.3041,23.7033,35.3041,26.6651,0.3394,36.9806,76100,2.0693,118210.0,1.32398274257677,0.0,0.3738978199197485,11.995543095392136,4.234920903476863
11,2011,AAPL,IT,376.4,108249.0,43818.0,25922.0,0.9886,35604.0,76615.0,37529.0,-40419.0,1444.0,1.6084,0.0,33.8341,22.2753,33.8341,23.9466,0.6278,35.9115,63300,3.1568,76615.0,1.4128956470665013,0.0,0.3289083501926115,14.52048453051462,4.912876068654963
12,2010,AAPL,IT,296.89,65225.0,25684.0,14013.0,0.5411,19412.0,47791.0,18595.0,-13854.0,1257.0,2.0113,0.0,29.3214,18.6385,29.3214,21.4841,0.2857,30.0013,49400,1.64,47791.0,1.3647967190475194,0.0,0.29761594480643927,21.18675515592664,6.212257538030173
13,2009,AAPL,IT,189.8,42905.0,17222.0,8235.0,0.3243,12474.0,31640.0,10159.0,-17434.0,663.0,2.7425,0.0,26.0272,17.3365,26.0272,19.1936,0.355,26.4052,36800,-0.3555,31640.0,1.3560366624525917,0.0,0.2907353455308239,23.04796599878567,5.998735777496839
